target,precursor_ids,doi,year,type
Li0.25Mn0.45Ga0.05O1,"593,567,1005",10.1149/1.1634274,2004,train
Li0.25Mn0.5O1,"567,1005",10.1149/1.1634274,2004,train
Li0.25Ti0.05Mn0.45O1,"567,759,1005",10.1149/1.1634274,2004,train
Li0.25Mn0.5O1,"567,1005",10.1149/1.1634274,2004,train
Li0.25Mn0.45Co0.05O1,"291,567,1005",10.1149/1.1634274,2004,train
Li0.25Mn0.5O1,"567,1005",10.1149/1.1634274,2004,train
Li0.3Mn0.45O1,"567,1005",10.1149/1.1634274,2004,train
Li0.25Mn0.5O1,"567,1005",10.1149/1.1634274,2004,train
Li0.25Mn0.45Fe0.05O1,"567,1005,973",10.1149/1.1634274,2004,train
Li0.25Mn0.5O1,"567,1005",10.1149/1.1634274,2004,train
Li0.25Mn0.45Ni0.05O1,"567,152,1005",10.1149/1.1634274,2004,train
Li0.25Mn0.5O1,"567,1005",10.1149/1.1634274,2004,train
Li0.25Mn0.45Al0.05O1,"671,567,1005",10.1149/1.1634274,2004,train
Li0.5Co0.5O1,"291,1005",10.1149/1.1634274,2004,train
SrRuO3,"660,300",10.1149/1.1667522,2004,train
BaRuO3,"40,660",10.1149/1.1667522,2004,train
Ba0.3333Ru0.3333O1,"40,660",10.1149/1.1667522,2004,train
Sr0.3333Ru0.3333O1,"660,300",10.1149/1.1667522,2004,train
Sr0.2Mg0.1La0.8Ni0.1Ga0.8O3,"835,593,152,824,300",10.1149/1.1690785,2004,train
Y2ZrO5,"3,865",10.1149/1.1688343,2004,train
LiMn0.333Co0.333Ni0.333O2,"881,78,559,1010",10.1149/1.1740781,2004,train
Li0.5Mn0.1665Co0.1665Ni0.1665O1,"881,78,559,1010",10.1149/1.1740781,2004,train
LiMn2O4,"1005,559",10.1149/1.1342168,2001,train
CaV3O7,"680,1024",10.1149/1.1350662,2001,train
Ca0.1429V0.4286O1,"680,1024",10.1149/1.1350662,2001,train
Sm0.1Ce0.9O1.95,"754,412",10.1149/1.1359198,2001,train
Sm0.2Ce0.8O1.9,"754,412",10.1149/1.1359198,2001,train
Sm0.3Ce0.7O1.85,"754,412",10.1149/1.1359198,2001,train
Sm0.4Ce0.6O1.8,"754,412",10.1149/1.1359198,2001,train
Sr0.2La0.8CoO3,"291,824,300",10.1149/1.1362540,2001,train
Sr0.3La0.7CoO3,"291,824,300",10.1149/1.1362540,2001,train
Sr0.4La0.6CoO3,"291,824,300",10.1149/1.1362540,2001,train
LiFeO2,"289,1005",10.1149/1.1370962,2001,train
Li5FeO4,"854,289",10.1149/1.1370962,2001,train
Zn2SnO4,"220,248",10.1149/1.1368111,2001,train
LiMn0.6Fe0.4PO4,"359,1005,242,360",10.1149/1.1375167,2001,train
La2Zr2O7,"3,824",10.1149/1.1369370,2001,train
La0.2857Zr0.2857O1,"3,824",10.1149/1.1369370,2001,train
La0.2857Zr0.2857O1,"3,824",10.1149/1.1369370,2001,train
MgAl2O4,"835,671",10.1149/1.1375169,2001,train
Zn0.25Ga0.5O1,"220,593",10.1149/1.1375169,2001,train
Li0.25Mn0.5O1,"1005,559",10.1149/1.1383775,2001,train
GdAl3B4O12,"397,671,729",10.1149/1.1383778,2001,train
EuAl3B4O12,"397,671,226",10.1149/1.1383778,2001,train
Ti3Al1.1C1.8,"972,44,467",10.1149/1.1380256,2001,train
LiFePO4,"1005,745,360",10.1149/1.1401083,2001,train
LiMn0.2Fe0.8PO4,"1005,745,242,360",10.1149/1.1401083,2001,train
LiMn0.4Fe0.6PO4,"1005,745,242,360",10.1149/1.1401083,2001,train
LiMn0.6Fe0.4PO4,"1005,745,242,360",10.1149/1.1401083,2001,train
LiMn0.8Fe0.2PO4,"1005,745,242,360",10.1149/1.1401083,2001,train
LiMnPO4,"1005,242,360",10.1149/1.1401083,2001,train
Li2FeS2,"968,23",10.1149/1.1401078,2001,train
LiTiS2,"972,23,946",10.1149/1.1401078,2001,train
Sr0.2Mg0.15La0.8Co0.05Ga0.8O2.8,"835,593,824,943,300",10.1149/1.1409972,2001,train
LiCoO2,"291,1010",10.1149/1.1410968,2001,train
LiRh0.2Co0.8O2,"978,291,1010",10.1149/1.1410968,2001,train
LiRhO2,"978,1010",10.1149/1.1410968,2001,train
CaGa2S4,"386,843",10.1149/1.1410972,2001,train
Y0.2Zr0.8O1.9,"3,865",10.1149/1.1417977,2001,train
Ce0.8Y0.2O1.9,"412,865",10.1149/1.1417977,2001,train
Li1.05Mn1.95O4,"1005,567",10.1149/1.1429225,2002,train
Li0.2625Mn0.4875O1,"1005,567",10.1149/1.1429225,2002,train
Li0.25Mn0.5O1,"1005,559",10.1149/1.1429225,2002,train
LiMn1.5Ni0.5O4,"123,1010,152",10.1149/1.1448818,2002,train
Li0.5Co0.5O1,"291,1005",10.1149/1.1431574,2002,train
AuCu18,"228,561",10.1149/1.1430414,2002,train
Nb9PO25,"526,360",10.1149/1.1455647,2002,train
Nb14W3O44,"243,526",10.1149/1.1455647,2002,train
Nb12WO33,"243,526",10.1149/1.1455647,2002,train
TiNb2O7,"759,526",10.1149/1.1455647,2002,train
Nb18GeO47,"798,526",10.1149/1.1455647,2002,train
Nb9VO25,"560,526",10.1149/1.1455647,2002,train
SrTiO3,"759,799",10.1149/1.1430417,2002,train
Sr0.7La0.3FeO3,"824,745,300",10.1149/1.1459715,2002,train
Sr0.7La0.3Fe0.6Ga0.4O3,"824,593,745,300",10.1149/1.1459715,2002,train
SrFe0.25O,"289,300",10.1149/1.1470661,2002,train
SrFe0.5O,"289,300",10.1149/1.1470661,2002,train
SrFe0.75O,"289,300",10.1149/1.1470661,2002,train
SrFe0.9O,"289,300",10.1149/1.1470661,2002,train
SrFeO,"289,300",10.1149/1.1470661,2002,train
LiMn2O4,"123,1010",10.1149/1.1481523,2002,train
Li2CuSn,"966,182,228",10.1149/1.1471888,2002,train
Sr3La6Si6O24,"824,300,746",10.1149/1.1483102,2002,train
Na3Zr2Si2PO12,"3,951,253,746",10.1149/1.1477210,2002,train
NaZr2P3O12,"3,951,253",10.1149/1.1477210,2002,train
VSbO4,"560,273",10.1149/1.1500345,2002,train
Mn2Sb2O7,"273,242",10.1149/1.1500345,2002,train
V4Ag2O11,"560,791",10.1149/1.1500345,2002,train
Y2SO2,"865,222",10.1149/1.1482770,2002,train
Ba2In2O5,"40,638",10.1149/1.1506302,2002,train
BaCoO3,"40,251",10.1149/1.1513983,2002,train
Mn2Sb,"146,533",10.1149/1.1524610,2003,train
MnSb,"146,533",10.1149/1.1524610,2003,train
SrLaGaO3,"824,593,300",10.1149/1.1524174,2003,train
SrLaCoO3,"1000,714,799",10.1149/1.1524174,2003,train
Ca0.25Ga0.5S1,"843,386",10.1149/1.1528945,2003,train
Y3Al5O12,"865,671",10.1149/1.1535207,2003,train
Y3Al5O12,"865,671",10.1149/1.1535207,2003,train
CaAl2O4,"671,983",10.1149/1.1553792,2003,train
Sr0.4La0.6MnO3,"824,300,567",10.1149/1.1344524,2001,train
Ca2RuO4,"660,1024",10.1149/1.1557082,2003,train
Ca3Ru2O7,"660,1024",10.1149/1.1557082,2003,train
CaRuO3,"660,1024",10.1149/1.1557082,2003,train
SrGa2O4,"593,300",10.1149/1.1825914,2005,train
Sr0.25Ga0.5O1,"593,300",10.1149/1.1825914,2005,train
LiFePO4,"465,1010",10.1149/1.1852438,2005,train
BaCe0.9Y0.1O3,"40,412,865",10.1149/1.1852442,2005,train
BaCe0.75Y0.1Ru0.15O3,"40,660,412,865",10.1149/1.1852442,2005,train
Sr3MgSi2O8,"835,300,746",10.1149/1.1850370,2005,train
Li4Ti5O12,"759,1005",10.1149/1.1861193,2005,train
Sr0.5Ca1.5SiO4,"300,746,983",10.1149/1.1888365,2005,train
Ba0.9Sr1.06SiO4,"40,300,746",10.1149/1.1888365,2005,train
Ba0.4In0.4O1,"40,638",10.1149/1.1905966,2005,train
RbAg4I5,"125,708",10.1149/1.1915243,2005,train
SrZrO3,"300,3",10.1149/1.1899269,2005,train
SrY0.02Zr0.98O3,"865,300,3",10.1149/1.1899269,2005,train
SrY0.05Zr0.95O3,"865,300,3",10.1149/1.1899269,2005,train
SrY0.08Zr0.92O3,"865,300,3",10.1149/1.1899269,2005,train
SrY0.15Zr0.85O3,"865,300,3",10.1149/1.1899269,2005,train
SrY0.2Zr0.8O3,"865,300,3",10.1149/1.1899269,2005,train
SrY0.3Zr0.7O3,"865,300,3",10.1149/1.1899269,2005,train
SrZrO3,"300,3",10.1149/1.1899269,2005,train
SrSc0.02Zr0.98O3,"699,300,3",10.1149/1.1899269,2005,train
SrSc0.05Zr0.95O3,"699,300,3",10.1149/1.1899269,2005,train
SrSc0.08Zr0.92O3,"699,300,3",10.1149/1.1899269,2005,train
SrSc0.15Zr0.85O3,"699,300,3",10.1149/1.1899269,2005,train
SrSc0.2Zr0.8O3,"699,300,3",10.1149/1.1899269,2005,train
SrSc0.3Zr0.7O3,"699,300,3",10.1149/1.1899269,2005,train
BaZrO3,"40,3",10.1149/1.1899269,2005,train
BaY0.02Zr0.98O3,"40,865,3",10.1149/1.1899269,2005,train
BaY0.05Zr0.95O3,"40,865,3",10.1149/1.1899269,2005,train
BaY0.08Zr0.92O3,"40,865,3",10.1149/1.1899269,2005,train
BaY0.15Zr0.85O3,"40,865,3",10.1149/1.1899269,2005,train
BaY0.2Zr0.8O3,"40,865,3",10.1149/1.1899269,2005,train
BaY0.3Zr0.7O3,"40,865,3",10.1149/1.1899269,2005,train
Mg0.9Ti0.1Ni,"972,37,726",10.1149/1.1928114,2005,train
Mg0.9Ti0.1NiAl0.05,"972,161,37,726",10.1149/1.1928114,2005,train
MgNi,"37,726",10.1149/1.1928114,2005,train
Sr4La2Ti6O19,"759,824,300",10.1149/1.1921747,2005,train
Ba2In2O5,"40,638",10.1149/1.1900983,2005,train
Ba2In2O5,"40,638",10.1149/1.1900983,2005,train
Ba2In2O5,"40,638",10.1149/1.1900983,2005,train
Ba2In2O5,"40,638",10.1149/1.1900983,2005,train
Li2P2S6,"23,345",10.1149/1.1939633,2005,train
Li1.1V3O8,"560,1005",10.1149/1.1945687,2005,train
Gd0.65Ce0.05Y2.3Al5O12,"687,54,992,991",10.1149/1.1896307,2005,train
Tb0.575Gd0.65Ce0.05Y1.725Al5O12,"687,54,992,991,84",10.1149/1.1896307,2005,train
Tb1.15Gd0.65Ce0.05Y1.15Al5O12,"687,54,992,991,84",10.1149/1.1896307,2005,train
Tb1.725Gd0.65Ce0.05Y0.575Al5O12,"687,54,992,991,84",10.1149/1.1896307,2005,train
Tb2.3Gd0.65Ce0.05Al5O12,"687,54,991,84",10.1149/1.1896307,2005,train
LiSn2P3O12,"1005,253,248",10.1149/1.1914753,2005,train
Sn3P2O8,"253,248",10.1149/1.1914753,2005,train
Sn0.375P0.25O1,"253,248",10.1149/1.1914753,2005,train
Sr2SiO4,"300,746",10.1149/1.1939187,2005,train
Y1.94Bi0.06O3,"865,192",10.1149/1.1940752,2005,train
Eu0.16Y1.82Bi0.02O3,"865,226,192",10.1149/1.1940752,2005,train
Eu0.16Y1.78Bi0.06O3,"865,226,192",10.1149/1.1940752,2005,train
Eu0.16Y1.72Bi0.12O3,"865,226,192",10.1149/1.1940752,2005,train
Eu0.16Y1.84O3,"865,226",10.1149/1.1940752,2005,train
Sr0.2Mg0.17La0.8Ga0.83O2.815,"8,300,835,593",10.1149/1.1992478,2005,train
BaS,"40,230,222",10.1149/1.1954947,2005,train
Ba2ZnS3,"430,718",10.1149/1.1954947,2005,train
BaCoO3,"251,970",10.1149/1.2032407,2005,train
Li2RuO3,"660,1005",10.1149/1.2013147,2005,train
Sr2SiO4,"300,746",10.1149/1.1971065,2005,train
LiFePO4,"197,1005,745",10.1149/1.2120427,2005,train
Li2TiO3,"759,1010",10.1149/1.2006509,2005,train
Li4Ti5O12,"759,1010",10.1149/1.2006509,2005,train
Er0.4Bi1.6O3,"735,192",10.1149/1.2097036,2005,train
GdW1.75Mo0.25AgO8,"243,208,791,729",10.1149/1.2034515,2005,train
GdMo2AgO8,"208,791,729",10.1149/1.2034515,2005,train
Sr0.5Ca0.5S,"440,887,799",10.1149/1.2118207,2005,train
CsPH2O4,"197,715",10.1149/1.2142211,2006,train
SiP2O7,"197,746",10.1149/1.2142211,2006,train
Sr0.2Mg0.2La0.8Ga0.8O2.8,"835,824,593,300",10.1149/1.2172572,2006,train
Sr2MoCrO6,"437,208,300",10.1149/1.1758815,2004,train
Gd2Ti1.7Mo0.3O7,"208,759,729",10.1149/1.1758815,2004,train
Gd2TiMoO7,"208,759,729",10.1149/1.1758815,2004,train
Sr2MoFeO6,"208,289,300",10.1149/1.1758815,2004,train
LiFePO4,"1005,745,253",10.1149/1.1756885,2004,train
Li0.35La0.55TiO3,"759,824,1005",10.1149/1.1767157,2004,train
Li0.55La0.35TiO3,"759,824,1005",10.1149/1.1767157,2004,train
LiLaSiO4,"1005,824,746",10.1149/1.1695400,2004,train
Mg0.9Ti0.06V0.04Ni,"972,37,354,726",10.1149/1.1753578,2004,train
Mg0.9Ti0.06V0.04Ni1.3,"972,37,354,726",10.1149/1.1753578,2004,train
BaCeO3,"40,412",10.1149/1.1738133,2004,train
Li0.3333Ti0.4167O1,"759,1005",10.1149/1.1758721,2004,train
La10Si6O26,"824,746",10.1149/1.1768948,2004,train
La10Fe1.5Si4.5O26,"960,824,746",10.1149/1.1768948,2004,train
La9Si6O26,"824,746",10.1149/1.1768948,2004,train
La9Fe1.5Si4.5O26,"960,824,746",10.1149/1.1768948,2004,train
Sr3La7Si6O26,"824,799,746",10.1149/1.1768948,2004,train
Sr3La6Si6O26,"824,799,746",10.1149/1.1768948,2004,train
La9.83Al1.5Si4.5O26,"824,54,746",10.1149/1.1768948,2004,train
La9.83Fe1.5Si4.5O26,"960,824,746",10.1149/1.1768948,2004,train
Zn2GeO4,"220,798",10.1149/1.1767159,2004,train
Li0.25Fe0.25P0.25O1,"745,1005,253",10.1149/1.1795544,2004,train
BaMgF4,"448,403",10.1149/1.1785794,2004,train
Ba0.25Mg0.25F1,"448,403",10.1149/1.1785794,2004,train
LiNiO2,"854,152",10.1149/1.1803572,2004,train
Li0.6667Ti0.3333O1,"759,1010",10.1149/1.1819790,2004,train
Ag52Sn48,"606,966",10.1149/1.1793671,2004,train
LiMn1.5Ni0.5O4,"566,402,1010",10.1149/1.1805524,2004,train
TiP2O7,"197,759",10.1149/1.1829414,2005,train
Ti0.1429P0.2857O1,"197,759",10.1149/1.1829414,2005,train
Li4Ti4.9Al0.1O12,"759,1005,671",10.1149/1.1833315,2005,train
Li4Ti4.85Al0.15O12,"759,1005,671",10.1149/1.1833315,2005,train
Li4Ti4.75Al0.25O12,"759,1005,671",10.1149/1.1833315,2005,train
Li0.3333Ti0.4167O1,"759,1005",10.1149/1.1833315,2005,train
Li4.15Ti5O12,"759,1005",10.1149/1.1833315,2005,train
Li4.15Ti4.9Al0.1O12,"759,1005,671",10.1149/1.1833315,2005,train
Li4.15Ti4.85Al0.15O12,"759,1005,671",10.1149/1.1833315,2005,train
Li4.15Ti4.75Al0.25O12,"759,1005,671",10.1149/1.1833315,2005,train
Li0.1167La0.1833Ti0.3333O1,"759,1005,824",10.1149/1.1828952,2005,train
NdCoO3,"291,184",10.1149/1.1828243,2005,train
Sr3.96Eu0.04Al14O25,"20,226,300",10.1149/1.1836154,2005,train
Sr3.712Eu0.288Al14O25,"20,226,300",10.1149/1.1836154,2005,train
LaW2AgO8,"243,824,791",10.1149/1.2163781,2006,train
LaMo2AgO8,"208,824,791",10.1149/1.2163781,2006,train
Ti1.5W1.5Bi5O15,"759,243,192",10.1149/1.2189234,2006,train
Ba1S1,"40,230,222",10.1149/1.2189968,2006,train
Ba0.6667Zn0.3333S1,"430,718",10.1149/1.2189968,2006,train
Sr3Fe2O7,"289,300",10.1149/1.2195835,2006,train
Sr0.0714La0.2857Mg0.0714Ga0.2857O1,"835,824,593,300",10.1149/1.2195835,2006,train
BaZrO3,"40,3",10.1149/1.2203095,2006,train
Co3Sn2,"966,1020",10.1149/1.2204871,2006,train
CoSn,"966,1020",10.1149/1.2204871,2006,train
CoSn2,"966,1020",10.1149/1.2204871,2006,train
SnP2O7,"197,248",10.1149/1.2210669,2006,train
Sn2P2O7,"197,248",10.1149/1.2210669,2006,train
SnP2O7,"197,248",10.1149/1.2210669,2006,train
Li0.25Mn0.5O1,"123,1010",10.1149/1.2197649,2006,train
Li1.05Mn1.85Al0.1O3.95F0.05,"20,123,423,1010",10.1149/1.2197649,2006,train
Li0.5Co0.5O1,"291,1005",10.1149/1.2219710,2006,train
LiMnO2,"1005,567",10.1149/1.2219710,2006,train
LiCr0.2Mn0.8O2,"1005,567,437",10.1149/1.2219710,2006,train
LiMn2O4,"567,423,1005",10.1149/1.2219710,2006,train
LiMn2O4,"567,423,1005",10.1149/1.2219710,2006,train
LiMn2O4,"567,423,1005",10.1149/1.2219710,2006,train
LiMn2O4,"567,423,1005",10.1149/1.2219710,2006,train
LiMn1.5Ni0.5O4,"567,152,1005",10.1149/1.2219710,2006,train
Ca0.05Gd0.95NbO4,"526,729,983",10.1149/1.2203933,2006,train
Sr0.0714La0.2857Mg0.0714Ga0.2857O1,"835,824,593,300",10.1149/1.2195882,2006,train
Li2Sb2O3,"1005,273",10.1149/1.2219711,2006,train
Sr0.18La0.72MnO3,"824,300,242",10.1149/1.2207060,2006,train
LiFePO4,"356,676",10.1149/1.2214467,2006,train
CaGd0.1Y0.85BO4,"865,729,196,983",10.1149/1.2345552,2006,train
CaGd0.05Y0.9BO4,"865,729,196,983",10.1149/1.2345552,2006,train
CaY0.95BO4,"865,196,983",10.1149/1.2345552,2006,train
Er0.1333Bi0.5333O1,"735,192",10.1149/1.2358088,2006,train
CaZrO3,"983,3",10.1149/1.2229274,2006,train
LaMnO3,"113,930",10.1149/1.2344830,2006,train
V0.75Bi2Sb0.25O5.4,"560,273,192",10.1149/1.2372699,2007,train
LiCoO2,"291,1010",10.1149/1.2388731,2007,train
Sr0.06La0.24Mn0.3333O1,"824,300,242",10.1149/1.2357712,2006,train
Tb3Al5O12,"84,872",10.1149/1.2382670,2007,train
Li5.333Ti1.667O4,"759,1005",10.1149/1.2402117,2007,train
ErW0.167O2,"243,735",10.1149/1.2374948,2007,train
Ce0.05Y2.95Al5O12,"991,54,992",10.1149/1.2405835,2007,train
Ba2MgSi2O7,"835,746,970",10.1149/1.2398881,2007,train
Ba2Mg0.6Zn0.4Si2O7,"835,318,746,970",10.1149/1.2398881,2007,train
Er0.1333Bi0.5333O1,"735,192",10.1149/1.2806792,2008,train
Ca1.99MgEu0.01Si2O7,"835,983,226,746",10.1149/1.2816215,2008,train
MnCoSb,"533,1020,146",10.1149/1.2804421,2008,train
BaGa2S4,"430,843",10.1149/1.2825303,2008,train
Li0.5Co0.5O1,"291,1005",10.1149/1.2827993,2008,train
Sr0.0714La0.2857Mg0.0714Ga0.2857O1,"835,824,593,300",10.1149/1.2839028,2008,train
PtSn,"138,966",10.1149/1.2904525,2008,train
Sr0.15La0.85MnO3,"824,559,300",10.1149/1.2926509,2008,train
Ca0.7Eu0.24WZn0.06O4,"243,21,226,983",10.1149/1.2919900,2008,train
Ca0.7Eu0.24W0.75Mo0.25Zn0.06O4,"243,208,21,226,983",10.1149/1.2919900,2008,train
Ca0.7Eu0.24W0.5Mo0.5Zn0.06O4,"243,208,21,226,983",10.1149/1.2919900,2008,train
Ca0.7Eu0.24W0.25Mo0.75Zn0.06O4,"243,208,21,226,983",10.1149/1.2919900,2008,train
Ca0.7Eu0.24MoZn0.06O4,"208,21,226,983",10.1149/1.2919900,2008,train
Ca0.7Mg0.06Eu0.24WO4,"243,226,762,983",10.1149/1.2919900,2008,train
Ca0.7Mg0.06Eu0.24W0.75Mo0.25O4,"243,208,226,762,983",10.1149/1.2919900,2008,train
Ca0.7Mg0.06Eu0.24W0.5Mo0.5O4,"243,208,226,762,983",10.1149/1.2919900,2008,train
Ca0.7Mg0.06Eu0.24W0.25Mo0.75O4,"243,208,226,762,983",10.1149/1.2919900,2008,train
Ca0.7Mg0.06Eu0.24MoO4,"208,226,762,983",10.1149/1.2919900,2008,train
Ca0.58Eu0.24WZn0.06O4,"243,21,226,983",10.1149/1.2919900,2008,train
Ca0.58Eu0.24W0.75Mo0.25Zn0.06O4,"243,208,21,226,983",10.1149/1.2919900,2008,train
Ca0.58Eu0.24W0.5Mo0.5Zn0.06O4,"243,208,21,226,983",10.1149/1.2919900,2008,train
Ca0.58Eu0.24W0.25Mo0.75Zn0.06O4,"243,208,21,226,983",10.1149/1.2919900,2008,train
Ca0.58Eu0.24MoZn0.06O4,"208,21,226,983",10.1149/1.2919900,2008,train
Ca0.58Mg0.06Eu0.24WO4,"243,226,762,983",10.1149/1.2919900,2008,train
Ca0.58Mg0.06Eu0.24W0.75Mo0.25O4,"243,208,226,762,983",10.1149/1.2919900,2008,train
Ca0.58Mg0.06Eu0.24W0.5Mo0.5O4,"243,208,226,762,983",10.1149/1.2919900,2008,train
Ca0.58Mg0.06Eu0.24W0.25Mo0.75O4,"243,208,226,762,983",10.1149/1.2919900,2008,train
Ca0.58Mg0.06Eu0.24MoO4,"208,226,762,983",10.1149/1.2919900,2008,train
LaCoO3,"341,113",10.1149/1.2953573,2008,train
Li0.25Mn0.5O1,"567,1005",10.1149/1.3028317,2009,train
Li0.25Fe0.25P0.25O1,"253,1005,745",10.1149/2.012305jes,2013,train
LiMn1.5Ni0.5O4,"1005,242,152",10.1149/2.025305jes,2013,train
LiFePO4,"745,1005,360",10.1149/2.024305jes,2013,train
Li0.96Ti0.01FePO4,"864,745,1005,360",10.1149/2.024305jes,2013,train
Li0.92Ti0.02FePO4,"864,745,1005,360",10.1149/2.024305jes,2013,train
Li0.88Ti0.03FePO4,"864,745,1005,360",10.1149/2.024305jes,2013,train
Li0.84Ti0.04FePO4,"864,745,1005,360",10.1149/2.024305jes,2013,train
Li0.8Ti0.05FePO4,"864,745,1005,360",10.1149/2.024305jes,2013,train
LiFePO4,"745,1005,360",10.1149/2.024305jes,2013,train
Ba0.3333Zr0.3333O1,"40,3",10.1149/1.2901903,2008,train
La2Mo2O9,"824,208",10.1149/1.2965522,2008,train
NaFeO2,"507,973",10.1149/2.018305jes,2013,train
Zn2GeO4,"628,330",10.1149/1.2720769,2007,train
Sr0.4La0.6Fe0.2Co0.8O3,"291,824,300,973",10.1149/1.2744135,2007,train
Li1Ti0.3126O0.75,"759,1005",10.1149/1.2756975,2007,train
LiEuW2O8,"226,1005,243",10.1149/1.2731042,2007,train
LiEuMo2O8,"226,1005,208",10.1149/1.2731042,2007,train
Zn0.25Ga0.5O1,"220,593",10.1149/1.2766607,2007,train
ZnGa2O4,"220,593",10.1149/1.2766607,2007,train
Dy0.02Zn0.98Ga2O4,"32,220,593",10.1149/1.2766607,2007,train
LiMn2O4,"567,1005",10.1149/1.2732169,2007,train
LiMn1.9Zn0.1O4,"220,567,1005",10.1149/1.2732169,2007,train
